APP_ID,APP_NAME,CATEGORY,PRICE,CONTENT_RATING,DOWNLOADS,SIZE(M),CURRENT_VERSION,MIN_REQUIRED_ANDROID,LASTUPDATED,TOTAL_REVIEWS,AVERAGE_RATING,5RATING,4RATING,3RATING,2RATING,1RATING,DEVELOPER_SITE,DEVELOPER_CONTACT,DEVELOPER_NAME,Column1
FUNCOM.sexy_001lwp,Sexy Series 01 - LiveWallpaper,Personalisation,1.09,Medium Maturity,,0.78,1,2.1,4/10/2012,0,0,0,0,0,0,0,http://www.funcom.co.kr,c061c17ce569245b75a946d028f1ccd054bf2ff8,e165a4288edf500c05026b63bccbfdd869a47fe9,
FUNCOM.sexy_008lwp,Sexy Series 08 - LiveWallpaper,Personalization,1.11,Medium Maturity,,0.65,1,2.1,4/10/2012,0,0,0,0,0,0,0,http://www.funcom.co.kr,c061c17ce569245b75a946d028f1ccd054bf2ff8,e165a4288edf500c05026b63bccbfdd869a47fe9,
Game.NDK,SpeedCar,Arcade and Action,0,Low Maturity,"10,000,000 - 50,000,000",3.6,1.2.6,2.2,7/23/2013,139124,4.49,99263,21853,9842,3008,5158,,07fd1bb1c9f3a904adbd2f7c18d0155f57efad7f,8a7bca3dce0690e28dcdbe4d64afec3a5c88b31c,
Game.SpeedCar2,SpeedCarII,Arcade and Action,0,Low Maturity,"5,000,000 - 10,000,000",7.2,1.1.4,2.2,1/7/2013,47091,4.33,31016,8057,3793,1227,2998,,07fd1bb1c9f3a904adbd2f7c18d0155f57efad7f,8a7bca3dce0690e28dcdbe4d64afec3a5c88b31c,
Game.SpeedMoto,SpeedMoto,Arcade and Action,0,Low Maturity,"10,000,000 - 50,000,000",4.5,1.1.7,2.2,7/23/2013,141621,4.47,99829,22880,10100,2999,5813,,07fd1bb1c9f3a904adbd2f7c18d0155f57efad7f,8a7bca3dce0690e28dcdbe4d64afec3a5c88b31c,
Snake.snake,Glow Snake,Arcade and Action,0,Everyone,"100,000 - 500,000",1.3,1.1,1.5,6/14/2011,708,3.51,300,86,125,67,130,http://www.words-mobile.com,4b40498a870957609323ac560d14ef4bf52308a4,46f9f41a4404bdb78a5205ca8739965f33315bc8,
ThemeBowl.snowydaylwp,Snowfall Live Wallpaper,Personalization,0,Everyone,"1,000 - 5,000",0.28,1,2.1,11/25/2013,7,4.29,4,1,2,0,0,http://www.themebowl.com/,965a442b1fc1e2dd92c823f3cd3cf0bfc65c019e,96f95234efec4252f395915818a2acfd73f0b96c,
ThemeBowl.spacelwp,Space Live Wallpaper,Personalisation,0,Everyone,100 - 500,0.19,1,2.1,7/29/2012,2,3,1,0,0,0,1,http://www.themebowl.com/,965a442b1fc1e2dd92c823f3cd3cf0bfc65c019e,96f95234efec4252f395915818a2acfd73f0b96c,
Uxpp.UC,NateOn UC,Communication,0,Medium Maturity,"10,000,000 - 50,000,000",10,3.0.4,2.1,12/4/2013,50328,4,29060,7830,4695,1699,7044,http://m.nate.com,7e7c9651dd414b87df5b9f5be06bea4c87a0a34a,808e5cc92dd893214f63a8d912cdc776179831b9,
addon.simplylock.theme.example,Simply Clean,Personalization,0,Everyone,"10,000 - 50,000",0.06,1,1.6,3/23/2011,23,3.52,11,4,1,0,7,https://sites.google.com/site/firezenkandroid/home/noticias,e003c13030d65a6af99ec66be8f5d13612292747,47fe14c85fb5580267be10e4d82ef44a3c9bc468,
addon.simplylock.theme.kanttii,Honeycomb,Personalisation,0,Everyone,"50,000 - 100,000",0.12,1,1.6,3/23/2011,143,3.6,68,26,9,4,36,https://sites.google.com/site/firezenkandroid/home/noticias,e003c13030d65a6af99ec66be8f5d13612292747,47fe14c85fb5580267be10e4d82ef44a3c9bc468,
addon.simplylock.theme.whiteText,White Text,Personalisation,0,Everyone,"10,000 - 50,000",0.07,1,1.6,4/26/2011,40,4.28,24,7,7,0,2,https://sites.google.com/site/firezenkandroid/home/noticias,e003c13030d65a6af99ec66be8f5d13612292747,47fe14c85fb5580267be10e4d82ef44a3c9bc468,
air.BoobsJuggle,Shake That,Entertainment,0,High Maturity,"50,000 - 100,000",0.08,1.0.6,2.2,9/30/2013,106,4.25,74,9,8,5,10,http://shpe.ro,86e62b454ecd7499526362208fcd152cf4ccce6c,438fb2a0eb8f9b33d6d020cb02bf805869496bfa,
air.FUNCOM.AustraliaRadio,Australia Radio For Android,Media & Video,2.02,Everyone,100 - 500,21,1.5.0,2.2,3/28/2012,4,3,2,0,0,0,2,http://www.funcom.co.kr,c061c17ce569245b75a946d028f1ccd054bf2ff8,e165a4288edf500c05026b63bccbfdd869a47fe9,
air.FUNCOM.CaptionCamera,Caption Camera,Photography,1.96,Everyone,100 - 500,10,1.0.0,2.2,10/21/2011,3,3.67,2,0,0,0,1,http://www.funcom.co.kr,c061c17ce569245b75a946d028f1ccd054bf2ff8,e165a4288edf500c05026b63bccbfdd869a47fe9,
air.FUNCOM.CheckerMaster,Checker Master HD,Brain and Puzzle,1.95,Everyone,18537,1.2,1.0.0,2.2,3/9/2013,0,0,0,0,0,0,0,http://www.funcom.co.kr,c061c17ce569245b75a946d028f1ccd054bf2ff8,e165a4288edf500c05026b63bccbfdd869a47fe9,
air.FUNCOM.CoverCamera,Cover Camera,Photography,3.03,Everyone,100 - 500,11,2.5.0,2.2,5/24/2012,6,3.33,2,2,0,0,2,http://www.funcom.co.kr,c061c17ce569245b75a946d028f1ccd054bf2ff8,e165a4288edf500c05026b63bccbfdd869a47fe9,
air.FUNCOM.GhostCigarette,Ghost Cigarette HD,Lifestyle,1.93,Everyone,18537,0.56,1.0.0,2.2,10/7/2013,0,0,0,0,0,0,0,http://www.funcom.co.kr,c061c17ce569245b75a946d028f1ccd054bf2ff8,e165a4288edf500c05026b63bccbfdd869a47fe9,
